IJR: iShares Core S&P Small-Cap ETF
Inception Date: 2000-05-22
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	37959903
Shares Outstanding: 484700000
Expense Ratio: 0.07%
Tracks This Index: S&P SmallCap 600 Index
ETFdb.com Category: Small Cap Growth Equities
Issuer: iShares
Structure: ETF
ETF Home Page: http://etfdb.com/etf/IJR


Holding,Symbol,Weighting
HealthStream Inc,HSTM,0.0857%
Cincinnati Bell Inc,CBB,0.084%
Armada Hoffler Properties Inc,AHH,0.083%
OFG Bancorp,OFG,0.0825%
Invacare Corp,IVC,0.0823%
SpartanNash Co,SPTN,0.0817%
Cohu Inc,COHU,0.0814%
Electro Scientific Industries Inc,ESIO,0.0813%
Griffon Corp,GFF,0.081%
Dime Community Bancshares Inc,DCOM,0.0806%
Oritani Financial Corp,ORIT,0.0805%
Applied Optoelectronics Inc,AAOI,0.0801%
Quanex Building Products Corp,NX,0.08%
James River Group Holdings Ltd,JRVR,0.08%
Meridian Bioscience Inc,VIVO,0.0797%
Saul Centers Inc,BFS,0.0797%
XO Group Inc,XOXO,0.0797%
Movado Group Inc,MOV,0.0796%
E. W. Scripps Co,SSP,0.0794%
Urstadt Biddle Properties Inc,UBA,0.0792%
Express Inc,EXPR,0.0788%
Community Health Systems Inc,CYH,0.0781%
Marcus Corp,MCS,0.0771%
DXP Enterprises Inc,DXPE,0.077%
Ethan Allen Interiors Inc,ETH,0.0769%
LSC Communications Inc,LKSD,0.0767%
Lumber Liquidators Holdings Inc,LL,0.0761%
Regis Corp,RGS,0.0759%
Fiesta Restaurant Group Inc,FRGI,0.0756%
American Vanguard Corp,AVD,0.0756%
CBL & Associates Properties Inc,CBL,0.0755%
ATN International Inc,ATNI,0.0748%
Vicor Corp,VICR,0.0741%
Lantheus Holdings Inc,LNTH,0.074%
Heska Corp,HSKA,0.074%
Insteel Industries Inc,IIIN,0.0733%
Hibbett Sports Inc,HIBB,0.073%
Green Bancorp Inc,GNBC,0.0729%
Bristow Group Inc,BRS,0.0723%
Photronics Inc,PLAB,0.0722%
ANI Pharmaceuticals Inc,ANIP,0.0712%
Unifi Inc,UFI,0.0703%
Greenhill & Co Inc,GHL,0.07%
Titan International Inc,TWI,0.0698%
Surmodics Inc,SRDX,0.0696%
Tabula Rasa HealthCare Inc,TRHC,0.0696%
Tetra Technologies Inc,TTI,0.0695%
Team Inc,TISI,0.0684%
Rent-A-Center Inc,RCII,0.0684%
Tactile Systems Technology Inc,TCMD,0.0683%
Haynes International Inc,HAYN,0.0682%
Fidelity Southern Corp,LION,0.068%
Myers Industries Inc,MYE,0.0677%
MarineMax Inc,HZO,0.0671%
MYR Group Inc,MYRG,0.0659%
John B Sanfilippo & Son Inc,JBSS,0.0658%
Monarch Casino & Resort Inc,MCRI,0.0655%
LeMaitre Vascular Inc,LMAT,0.0649%
Finish Line Inc,FINL,0.0648%
Sonic Automotive Inc,SAH,0.0645%
CorVel Corp,CRVL,0.0643%
Opus Bank,OPB,0.0641%
Chuy's Holdings Inc,CHUY,0.064%
National Presto Industries Inc,NPK,0.0632%
Progenics Pharmaceuticals Inc,PGNX,0.0629%
Tredegar Corp,TG,0.0629%
VASCO Data Security International Inc,VDSI,0.0627%
Lannett Company Inc,LCI,0.0627%
Cross Country Healthcare Inc,CCRN,0.0618%
Synchronoss Technologies Inc,SNCR,0.0609%
Nautilus Inc,NLS,0.0607%
TTEC Holdings Inc,TTEC,0.0602%
Resources Connection Inc,RECN,0.0599%
Par Pacific Holdings Inc,PARR,0.059%
Community Healthcare Trust Inc,CHCT,0.0586%
Matrix Service Co,MTRX,0.0582%
REX American Resources Corp,REX,0.058%
Quinstreet Inc,QNST,0.0578%
Engility Holdings Inc,EGL,0.0578%
Eagle Pharmaceuticals Inc,EGRX,0.0576%
Maiden Holdings Ltd,MHLD,0.0576%
Control4 Corp,CTRL,0.0575%
Whitestone REIT,WSR,0.0573%
Cytokinetics Inc,CYTK,0.0571%
Zumiez Inc,ZUMZ,0.0562%
Veritiv Corp,VRTV,0.0554%
Depomed Inc,DEPO,0.0534%
Forrester Research Inc,FORR,0.0532%
United Insurance Holdings Corp,UIHC,0.0529%
Haverty Furniture Companies Inc,HVT,0.0521%
Motorcar Parts of America Inc,MPAA,0.051%
Central Garden & Pet Co,CENT,0.0507%
Cato Corp,CATO,0.0506%
RR Donnelley & Sons Co,RRD,0.0505%
Clearwater Paper Corp,CLW,0.0499%
Ascena Retail Group Inc,ASNA,0.0484%
Daktronics Inc,DAKT,0.0474%
Essendant Inc,ESND,0.046%
Computer Programs and Systems Inc,CPSI,0.0454%
Park Electrochemical Corp,PKE,0.0447%
PDF Solutions Inc,PDFS,0.0437%
Perry Ellis International Inc,PERY,0.0432%
Hci Group Inc,HCI,0.0427%
Digi International Inc,DGII,0.0427%
Barnes & Noble Inc,BKS,0.0425%
eHealth Inc,EHTH,0.0423%
Hawkins Inc,HWKN,0.0423%
Cedar Realty Trust Inc,CDR,0.042%
Superior Industries International Inc,SUP,0.0416%
Harmonic Inc,HLIT,0.0414%
Pioneer Energy Services Corp,PES,0.0413%
FutureFuel Corp,FF,0.0404%
Spok Holdings Inc,SPOK,0.038%
Shoe Carnival Inc,SCVL,0.038%
DSP Group Inc,DSPG,0.0365%
Powell Industries Inc,POWL,0.0356%
Barnes & Noble Education Inc,BNED,0.035%
Cloud Peak Energy Inc,CLD,0.032%
Tile Shop Holdings Inc,TTS,0.0313%
Era Group Inc,ERA,0.0301%
Flotek Industries Inc,FTK,0.0295%
El Pollo Loco Holdings Inc,LOCO,0.0293%
Vera Bradley Inc,VRA,0.0283%
Olympic Steel Inc,ZEUS,0.0282%
Quorum Health Corp,QHC,0.0279%
CARBO Ceramics Inc,CRR,0.0272%
Bel Fuse Inc,BELFB,0.0272%
Kopin Corp,KOPN,0.0268%
Big 5 Sporting Goods Corp,BGFV,0.0248%
Seneca Foods Corp,SENEA,0.0246%
Kirkland's Inc,KIRK,0.0244%
Francesca's Holdings Corp,FRAN,0.024%
Agilysys Inc,AGYS,0.0239%
Orion Group Holdings Inc,ORN,0.0236%
Liquidity Services Inc,LQDT,0.0219%
Geospace Technologies Corp,GEOS,0.0187%
Gulf Island Fabrication Inc,GIFI,0.0181%
Vitamin Shoppe Inc,VSI,0.0152%
LSB Industries Inc,LXU,0.0151%
FTD Companies Inc,FTD,0.0148%
Aceto Corp,ACET,0.0099%
Roadrunner Transportation Systems Inc,RRTS,0.0087%
Fred's Inc,FRED,0.0077%
