Symbol,Name,Last,Name,Exchange,Industry,Sector,"ETF Full Name","Fund Family","Asset Class","Contract Name"
ANDE,"Andersons Inc",33.1,"Andersons Inc",NASDAQ,"Agriculture Products","Basic Materials",N/A,N/A,N/A,N/A
ANF,"Abercrombie & Fitch Company",25.4,"Abercrombie & Fitch Company",NYSE,"Retail - Apparel & Shoes",Retail-Wholesale,N/A,N/A,N/A,N/A
ANGO,"Angiodynamics Inc",19.12,"Angiodynamics Inc",NASDAQ,"Medical Instruments",Medical,N/A,N/A,N/A,N/A
ANH,"Anworth Mortgage Asset Corp",4.83,"Anworth Mortgage Asset Corp",NYSE,"REIT - Mortgage Trusts",Finance,N/A,N/A,N/A,N/A
ANIK,"Anika Therapeutics",37.87,"Anika Therapeutics",NASDAQ,"Medical - Biomedical",Medical,N/A,N/A,N/A,N/A
ANIP,"ANI Pharma Inc",59.39,"ANI Pharma Inc",NASDAQ,"Medical - Biomedical",Medical,N/A,N/A,N/A,N/A
AOBC,"American Outdoor Brands Corp",10.8,"American Outdoor Brands Corp",NASDAQ,"Aerospace - Defense Equipment",Aerospace,N/A,N/A,N/A,N/A
AOSL,"Alpha and Omega Semi",15.02,"Alpha and Omega Semi",NASDAQ,"Electronics - Semiconductors","Computers and Technology",N/A,N/A,N/A,N/A
AP,"Ampco-Pittsburgh Corp",9.35,"Ampco-Pittsburgh Corp",NYSE,"Metal Production & Fabrication","Basic Materials",N/A,N/A,N/A,N/A
APAM,"Artisan Partners Asset Manageme",32.4,"Artisan Partners Asset Manageme",NYSE,"Finance - Investment Mgmt",Finance,N/A,N/A,N/A,N/A
APEI,"American Pub. Edu.",39.2,"American Pub. Edu.",NASDAQ,Schools,"Consumer Discretionary",N/A,N/A,N/A,N/A
APLS,"Apellis Pharmaceuticals Inc",24.66,"Apellis Pharmaceuticals Inc",NASDAQ,"Medical - Biomedical",Medical,N/A,N/A,N/A,N/A
APOG,"Apogee Entrpr Inc",42.15,"Apogee Entrpr Inc",NASDAQ,"Glass Products","Industrial Products",N/A,N/A,N/A,N/A
APPF,"Appfolio Cl A",54.05,"Appfolio Cl A",NASDAQ,"Internet - Software","Computers and Technology",N/A,N/A,N/A,N/A
APTI,"Apptio Inc",32.17,"Apptio Inc",NASDAQ,"Internet - Software","Computers and Technology",N/A,N/A,N/A,N/A
APTS,"Preferred Apartment Communities",15.42,"Preferred Apartment Communities",NYSE,"REIT - Equity Trust Resident",Finance,N/A,N/A,N/A,N/A
AQ,"Aquantia Corp",11.81,"Aquantia Corp",NYSE,"Wireless National",Utilities,N/A,N/A,N/A,N/A
AQMS,"Aqua Metals Inc",3.93,"Aqua Metals Inc",NASDAQ,"Waste Removal Svcs","Business Services",N/A,N/A,N/A,N/A
AQUA,"Evoqua Water Technologies Corp",20.15,"Evoqua Water Technologies Corp",NYSE,N/A,N/A,N/A,N/A,N/A,N/A
ARA,"American Renal Associates Holdi",14.6,"American Renal Associates Holdi",NYSE,"Medical - Outpatient & Hm Care",Medical,N/A,N/A,N/A,N/A
ARAY,"Accuray Incorporated",4.6,"Accuray Incorporated",NASDAQ,"Medical Instruments",Medical,N/A,N/A,N/A,N/A
ARC,"American Reprographics Company",2.2,"American Reprographics Company",NYSE,"Printing - Commercial","Industrial Products",N/A,N/A,N/A,N/A
ARCB,"Arcbest Corp",33.8,"Arcbest Corp",NASDAQ,"Transportation - Truck",Transportation,N/A,N/A,N/A,N/A
ARCH,"Arch Coal Inc",80.97,"Arch Coal Inc",NYSE,"Mining - Misc","Basic Materials",N/A,N/A,N/A,N/A
ARDX,"Ardelyx Inc",5.05,"Ardelyx Inc",NASDAQ,"Medical - Drugs",Medical,N/A,N/A,N/A,N/A
AREX,"Approach Res. Inc",2.49,"Approach Res. Inc",NASDAQ,"Oil - US Exploration & Product",Oils-Energy,N/A,N/A,N/A,N/A
ARI,"Apollo Commercial Real Estate",18.12,"Apollo Commercial Real Estate",NYSE,"REIT - Mortgage Trusts",Finance,N/A,N/A,N/A,N/A
ARII,"American Railcar Ind",36.32,"American Railcar Ind",NASDAQ,"Transportation - Equip & Lease",Transportation,N/A,N/A,N/A,N/A
ARMO,"Armo Biosciences Inc.",27.98,"Armo Biosciences Inc.",NASDAQ,"Medical - Biomedical",Medical,N/A,N/A,N/A,N/A
ARNA,"Arena Pharmaceutical",43.12,"Arena Pharmaceutical",NASDAQ,"Medical - Biomedical",Medical,N/A,N/A,N/A,N/A
AROC,"Archrock Inc",10.4,"Archrock Inc",NYSE,"Oil - Field Services",Oils-Energy,N/A,N/A,N/A,N/A
AROW,"Arrow Financial Corp",36.1,"Arrow Financial Corp",NASDAQ,"Banks - Northeast",Finance,N/A,N/A,N/A,N/A
ARR,"Armour Residential R",23.15,"Armour Residential R",NYSE,"REIT - Mortgage Trusts",Finance,N/A,N/A,N/A,N/A
ARRY,"Array Biopharma Inc",13.66,"Array Biopharma Inc",NASDAQ,"Medical - Biomedical",Medical,N/A,N/A,N/A,N/A
ARTNA,"Artesian Res Cp A",38.52,"Artesian Res Cp A",NASDAQ,"Utility - Water Supply",Utilities,N/A,N/A,N/A,N/A
ASC,"Ardmore Shipping Corp",8.15,"Ardmore Shipping Corp",NYSE,"Transportation - Ship",Transportation,N/A,N/A,N/A,N/A
ASCMA,"Ascent Capital Group",3.03,"Ascent Capital Group",NASDAQ,"Protection - Safety","Industrial Products",N/A,N/A,N/A,N/A
ASGN,"On Assignment",82.32,"On Assignment",NYSE,"IT Services","Computers and Technology",N/A,N/A,N/A,N/A
ASIX,"Advansix Inc",36.31,"Advansix Inc",NYSE,"Chemical - Specialty","Basic Materials",N/A,N/A,N/A,N/A
ASMB,"Assembly Biosciences",44.92,"Assembly Biosciences",NASDAQ,"Medical - Generic Drugs",Medical,N/A,N/A,N/A,N/A
ASNA,"Ascena Retail Grp",2.12,"Ascena Retail Grp",NASDAQ,"Retail - Apparel & Shoes",Retail-Wholesale,N/A,N/A,N/A,N/A
ASNS,"Arsanis Inc",20.69,"Arsanis Inc",NASDAQ,"Medical - Biomedical",Medical,N/A,N/A,N/A,N/A
ASPS,"Altisource Portfolio",27.99,"Altisource Portfolio",NASDAQ,"REIT - Mortgage Trusts",Finance,N/A,N/A,N/A,N/A
AST,"Asterias Biotherapeutics Inc",1.35,"Asterias Biotherapeutics Inc",AMEX,"Medical - Biomedical",Medical,N/A,N/A,N/A,N/A
ASTE,"Astec Inds Inc",54.96,"Astec Inds Inc",NASDAQ,"Machinery - Construct & Mining","Industrial Products",N/A,N/A,N/A,N/A
AT,"Atlantic Power Corp",2.25,"Atlantic Power Corp",NYSE,"Utility - Electric Power",Utilities,N/A,N/A,N/A,N/A
ATEN,"A10 Networks Inc",6.28,"A10 Networks Inc",NYSE,"Communication Network Software","Computers and Technology",N/A,N/A,N/A,N/A
ATGE,"Adtalem Global Education Inc",44.85,"Adtalem Global Education Inc",NYSE,Schools,"Consumer Discretionary",N/A,N/A,N/A,N/A
ATHX,"Athersys Inc",2.08,"Athersys Inc",NASDAQ,"Medical - Biomedical",Medical,N/A,N/A,N/A,N/A
ATI,"Allegheny Technologies Inc",27.83,"Allegheny Technologies Inc",NYSE,"Steel - Specialty","Basic Materials",N/A,N/A,N/A,N/A
ATKR,"Atkore International Group",17.95,"Atkore International Group",NYSE,"Wire & Cable Products","Industrial Products",N/A,N/A,N/A,N/A
ATLO,"Ames Natl Corp",27.4,"Ames Natl Corp",NASDAQ,"Banks - Midwest",Finance,N/A,N/A,N/A,N/A
ATNI,"Atn International",52.92,"Atn International",NASDAQ,"Wireless National",Utilities,N/A,N/A,N/A,N/A
ATNX,"Athenex Inc",16.06,"Athenex Inc",NASDAQ,"Medical - Biomedical",Medical,N/A,N/A,N/A,N/A
ATRA,"Atara Biotherap",40.45,"Atara Biotherap",NASDAQ,"Medical - Biomedical",Medical,N/A,N/A,N/A,N/A
ATRC,"Atricure Inc",22.88,"Atricure Inc",NASDAQ,"Medical Products",Medical,N/A,N/A,N/A,N/A
ATRI,"Atrion Corp",628.95,"Atrion Corp",NASDAQ,"Medical - Dental Suppliers",Medical,N/A,N/A,N/A,N/A
ATRO,"Astronics Cp",35.73,"Astronics Cp",NASDAQ,"Aerospace - Defense Equipment",Aerospace,N/A,N/A,N/A,N/A
ATRS,"Antares Pharma",2.3,"Antares Pharma",NASDAQ,"Medical - Dental Suppliers",Medical,N/A,N/A,N/A,N/A
ATSG,"Air Transport",20.48,"Air Transport",NASDAQ,"Transportation - Air Freight",Transportation,N/A,N/A,N/A,N/A
ATU,"Actuant Corp",23.45,"Actuant Corp",NYSE,"Machinery - Tools & Related","Industrial Products",N/A,N/A,N/A,N/A
AVA,"Avista Corp",51.86,"Avista Corp",NYSE,"Utility - Electric Power",Utilities,N/A,N/A,N/A,N/A
AVAV,"Aerovironment Inc",56.48,"Aerovironment Inc",NASDAQ,"Aerospace - Defense Equipment",Aerospace,N/A,N/A,N/A,N/A
AVD,"American Vanguard Corp",21.5,"American Vanguard Corp",NYSE,"Chemical - Specialty","Basic Materials",N/A,N/A,N/A,N/A
AVHI,"A V Homes Inc",18,"A V Homes Inc",NASDAQ,"Real Estate Developers",Finance,N/A,N/A,N/A,N/A
AVID,"Avid Tech Inc",4.72,"Avid Tech Inc",NASDAQ,"Computer - Software","Computers and Technology",N/A,N/A,N/A,N/A
AVX,"Avx Corp",15.33,"Avx Corp",NYSE,"Electronics - Misc Components","Computers and Technology",N/A,N/A,N/A,N/A
AVXL,"Anavex Lf SC",2.19,"Anavex Lf SC",NASDAQ,"Medical - Biomedical",Medical,N/A,N/A,N/A,N/A
