VGK: Vanguard FTSE Europe ETF
Inception Date: 2005-03-10
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	18822011
Shares Outstanding: 318047000
Expense Ratio: 0.1%
Tracks This Index: FTSE Developed Europe Index
ETFdb.com Category: Europe Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: http://etfdb.com/etf/VGK


Holding,Symbol,Weighting
Hexpol AB,HPOL.B,0.0265%
Sofina SA,SOF,0.0264%
JCDecaux SA,DEC,0.0264%
Nexity SA,NXI,0.0264%
WH Smith PLC,SMWH,0.0263%
Balfour Beatty PLC,BBY,0.0262%
Dormakaba Holding AG,DOKA,0.0262%
Gerresheimer AG,GXI,0.0261%
BillerudKorsnas AB (publ),BILL,0.0261%
Tecan Group AG,TECN,0.026%
Tritax Big Box Reit PLC,BBOX,0.026%
Capital & Counties Properties PLC,CAPC,0.026%
Dixons Carphone PLC,DC.,0.0258%
Tieto Oyj,TIE1V,0.0258%
Aperam SA,APAM,0.0256%
Cerved Information Solutions SpA,CERV,0.0256%
AP Moeller - Maersk A/S,MAERSK.A,0.0256%
Viscofan SA,VIS,0.0256%
Cts Eventim AG & Co KgaA,EVD,0.0255%
GAM Holding AG,GAM,0.0255%
HomeServe PLC,HSV,0.0255%
Elior Group SA,ELIOR,0.0254%
Spie SA,SPIE,0.0254%
Gjensidige Forsikring ASA,GJF,0.0254%
Unite Group PLC,UTG,0.0254%
ITE Group PLC,ITE,0.0254%
Duerr AG,DUE,0.0254%
Societe BIC SA,BB,0.0253%
Bucher Industries AG,BUCN,0.0252%
Loomis AB,LOOM.B,0.0251%
BE Semiconductor Industries NV,BESI,0.0249%
Banca Popolare di Sondrio ScpA,BPSO,0.0247%
AAK AB (publ),AAK,0.0247%
Grifols SA,GRF.P,0.0247%
Britvic PLC,BVIC,0.0247%
Grand City Properties SA,GYC,0.0246%
Valmet Oyj,VALMT,0.0246%
Sopra Steria Group SA,SOP,0.0244%
Jupiter Fund Management PLC,JUP,0.0243%
Polymetal International PLC,POLY,0.0241%
AMG Advanced Metallurgical Group NV,AMG,0.0241%
SalMar ASA,SALM,0.0238%
Pargesa Holding SA,PARG,0.0238%
Hikma Pharmaceuticals PLC,HIK,0.0237%
Norma Group SE,NOEJ,0.0236%
TLG Immobilien AG,TLG,0.0236%
Fastighets AB Balder,BALD.B,0.0236%
Basilea Pharmaceutica AG,BSLN,0.0236%
Babcock International Group PLC,BAB,0.0235%
