Symbol	Description
C6L	Singapore Airlines Ltd
C70	City Developments Ltd Nccps
C71	China Paper Holdings Limited
C76	Creative Technology Ltd
C86	China Sun Biochem Tech Gp Co.
C8R	Jiutian Chemical Group Limited
C92	China Haida Ltd.
C9Q	Sinostar Pec Holdings Limited
CC3	Starhub Ltd
CDVZ	Krisenergy S$139.464mz240131
CDWW	Second Chance Prop W200123
CDXW	Krisenergy Ltd. W240131
CEDU	Dasin Retail Trust
CEE	Citic Envirotech Ltd.
CEGW	Upp Holdings Limited W200212
CFA	Nikkoam-stc Asia_xj Reit Etf
CFN	Onestoxxasean Fund
CGN	Best World International Ltd
CGOW	Ta Corporation Ltd W220520
CGP	Noble Group Limited
CH8	China Sunsine Chem Hldgs Ltd.
CHBW	Duty Free Internationalw220513
CHJ	Uni-asia Group Limited
CHZ	Hrnetgroup Limited
CIN	Courage Marine Group Limited
CIOW	Dlc Socgen5xlongmsg 200714
CIPW	Dlc Socgen5xshorthsc 200714
CIQW	Dlc Socgen5xlonghsc 200714
CIRW	Dlc Socgen3xshorthsc 200714
CISW	Dlc Socgen3xlonghsc 200714
CITW	Dlc Socgen5xshorthsi 200714
CIUW	Dlc Socgen5xlonghsi 200714
CIVW	Dlc Socgen3xshorthsi 200714
CIWW	Dlc Socgen3xlonghsi 200714
CIXW	Dlc Socgen5xshortmsg 200714
CJLU	Netlink Nbn Trust
CJN	British & Malayan Hldg Limited
CLN	Apac Realty Limited
CLR	Lion-phillip S-reit Etf
CMCW	Uob Mb Ecw180410
CMDW	Dbs Mb Ecw180410
CMEW	S&p500 2800 Mb Ecw180618
CMFW	S&p500 2400 Mb Epw180618
CMJW	Nikkei225 22000 Mb Ecw180608
CMKW	Nikkei225 24000 Mb Ecw180608
CMLW	Nikkei225 19000 Mb Epw180608
CMMW	Nikkei225 21000 Mb Epw180608
CMNW	Nikkei225 23000 Mb Epw180608
CMOU	Keppel-kbs Us Reit
CMTW	Dbs Mb Ecw180412
CMUW	Dbs Mb Epw180412
CMVW	Capitaland Mb Ecw180410
CMWW	Singapore Post Mb Ecw180604
CMXW	Yangzijiang Mb Ecw180702
CNBW	Uob Mb Ecw180412
CNCW	Uob Mb Epw180412
CNE	Mindchamps Preschool Limited
