IDENT,NAME,MGR,INFOS,SICOVAM,TYPE,LIMITE_PERTE,ENTITE,MARKET,QUOTATION,HEDGEFUND,CURRENCY,BUSINESS_LINE_ID,MARKED_AS_CLOSED
6515,NKY,6513,,67425464,4,0,10000579,,,,55923524,,0
6532,sguy KOSPI2 - 20100211 - feb10 - VAN,6092,,67425490,4,0,10000579,,,,55923524,,0
6533,sguy KOSPI2 - 20100211 - feb10 - VAN2,6092,,67425490,4,0,10000579,,,,55923524,,0
6552,2010-06-29,6773,,67425466,4,0,10000579,,,,55923524,,0
6553,Feb,6515,,67425464,4,0,10000579,,,,55923524,,0
6554,June,6515,,67425464,4,0,10000579,,,,55923524,,0
6555,CITI,5097,,67425467,4,0,10000579,,,,0,,0
6556,PTH,6555,,67425467,4,0,10000579,,,,0,,0
6572,sguy KOSPI2 - 20100408 - apr10,7158,,67425490,4,0,10000579,,,,55923524,,0
6573,15x5 20x10,5100,,67425467,4,0,10000579,,,,0,,0
6574,20x5 25x10,5100,,67425467,4,0,10000579,,,,0,,0
6575,10x5 15x5 25x10,5100,,67425467,4,0,10000579,,,,0,,0
6592,sguy KOSPI2 - 20101209 - dec10,7158,,67425490,4,0,10000579,,,,55923524,,0
6612,sguy KOSPI2 - 20101209 - dec10 - VAN2,6592,,67425490,4,0,10000579,,,,55923524,,0
6613,sguy KOSPI2 - 20101209 - dec10 - VAR,6592,,67425490,4,0,10000579,,,,55923524,,0
6632,2010-12-30,6773,,67425466,4,0,10000579,,,,55923524,,0
6633,ranli - Relative Value,5370,,67425467,4,0,10000579,,,,0,,0
6634,Borrow,5817,,67425467,4,0,10000579,,,,0,,0
6635,March,6515,,67425464,4,0,10000579,,,,55923524,,0
6636,dehow - Hedge - Mkt Risk - SovX WE,5433,,67425467,4,0,10000579,,,,0,,0
6637,dehow - Hedge - Mkt Risk - Fin SUB,5433,,67425467,4,0,10000579,,,,0,,0
6638,dehow - Hedge - Mkt Risk - AxJ IG,5433,,67425467,4,0,10000579,,,,0,,0
6639,dehow - Hedge - Mkt Risk - Eur XO,5433,,67425467,4,0,10000579,,,,0,,0
6640,dehow - Hedge - Mkt Risk - JPN,5433,,67425467,4,0,10000579,,,,0,,0
6641,dehow - Hedge - Mkt Risk - OZ,5433,,67425467,4,0,10000579,,,,0,,0
6642,aseiz - Hedge - Mkt Risk - Eur XO,5436,,67425467,4,0,10000579,,,,0,,0
6643,aseiz - Hedge - Mkt Risk - SovX WE,5436,,67425467,4,0,10000579,,,,0,,0
6644,aseiz - Hedge - Mkt Risk - Fin SUB,5436,,67425467,4,0,10000579,,,,0,,0
